XCoord,YCoord,RED,GREEN,BLUE,NIR,LCCODE
391517.3736,4801105.734,55,74,96,4,1
391757.814,4801131.345,58,78,97,2,1
390656.7553,4801128.261,59,79,100,5,1
390780.4661,4801033.969,82,95,108,5,1
390567.0834,4800907.427,47,70,94,5,1
391031.4448,4800957.559,58,73,95,4,1
391389.8068,4800960.46,62,80,101,6,1
390629.6831,4800930.912,43,69,97,11,4
390739.8687,4800914.399,58,63,89,98,4
390676.262,4800774.801,53,69,91,5,1
390928.6702,4800760.86,188,174,158,44,3
390983.5045,4800763.442,182,171,154,41,3
391164.454,4800773.225,50,56,81,64,4
390784.5034,4800691.588,208,213,205,18,1
390686.9785,4800684.497,57,79,97,6,1
391048.9344,4800667.924,234,226,205,104,3
390965.4929,4800617.269,152,142,133,25,3
390908.6668,4800599.119,170,157,145,34,3
391346.8942,4800652.429,65,78,101,53,4
390651.1505,4800458.877,195,192,196,20,1
390729.7712,4800533.873,255,255,251,100,1
390925.4735,4800508.715,168,156,143,32,3
390629.8481,4800378.62,127,155,147,8,1
390960.0068,4800438.825,232,221,201,92,3
390874.3305,4800411.606,170,158,146,33,3
390831.4572,4800395.831,186,173,157,41,3
390905.3017,4800336.571,230,220,201,90,3
390826.9161,4800330.036,173,160,146,33,3
390541.1685,4800273.451,217,221,222,47,1
388286.5189,4800199.401,193,193,188,58,2
388279.4423,4800218.585,146,155,164,40,2
390771.6864,4800303.193,183,171,155,40,3
390704.2839,4800222.812,174,163,148,29,3
390684.1005,4800265.607,174,162,148,32,3
390835.2531,4800199.896,234,225,205,110,3
389766.612,4800086.252,58,77,102,5,1
390440.6625,4800136.405,254,255,255,21,1
390490.2147,4800188.472,77,96,105,1,1
388341.774,4800095.347,191,188,191,58,2
388297.5157,4800180.584,140,141,142,36,2
390672.2372,4800177.395,173,163,151,30,3
390760.1621,4800182.041,172,160,147,31,3
390679.9807,4800118.333,163,148,134,28,3
390735.6837,4800092.255,232,224,205,105,3
390572.0896,4800087.965,194,181,164,46,3
390629.3562,4800079.239,158,143,134,25,3
389696.6462,4800075.255,60,70,103,40,4
388278.0601,4799963.76,44,97,123,5,1
388485.9676,4799964.664,47,89,119,5,1
389826.1283,4800002.076,57,77,102,6,1
389735.0852,4799952.451,208,197,171,72,2
389703.2881,4799949.502,197,187,164,75,2
388396.5306,4799960.965,238,234,215,116,2
388369.8471,4800030.745,255,255,250,186,2
388355.1083,4800060.024,255,255,253,241,2
388349.929,4800045.656,149,147,154,48,2
388227.2172,4799962.741,162,170,176,49,2
390641.7987,4799988.031,235,225,206,106,3
390545.8902,4800027.718,175,163,150,31,3
390498.862,4800024.146,165,156,142,28,3
390450.2629,4800031,175,166,150,31,3
389677.5086,4800021.829,56,81,109,5,4
388137.4515,4799929.68,52,101,128,5,1
388632.9163,4799908.504,40,80,113,5,1
389528.299,4799821.015,74,98,109,6,1
389558.482,4799911.531,62,89,108,5,1
389871.3656,4799895.596,195,208,193,32,1
389958.6369,4799913.244,195,199,183,26,1
390185.2489,4799941.198,87,100,108,5,1
389648.8747,4799839.878,89,97,115,23,2
389713.9682,4799884.322,223,211,188,100,2
389747.2607,4799898.947,214,204,178,82,2
389684.8285,4799937.669,70,83,103,19,2
389639.6586,4799888.134,186,175,167,58,2
389695.7699,4799888.519,54,66,102,9,2
388487.4931,4799832.917,116,116,126,38,2
388471.0721,4799892.128,154,152,158,60,2
388434.3389,4799827.293,226,218,191,101,2
388416.6782,4799890.425,250,237,218,135,2
388245.9995,4799862.32,65,90,127,13,2
388221.1724,4799860.13,162,162,153,26,2
388037.5058,4799878.769,139,137,154,64,2
388385.1855,4799941.931,91,94,117,19,2
390539.453,4799898.678,235,227,207,106,3
390388.6322,4799931.457,174,162,148,33,3
390319.0216,4799929.985,196,184,165,47,3
390369.542,4799880.628,207,195,176,61,3
390185.6738,4799860.208,183,172,157,37,3
390260.1535,4799893.669,166,154,142,28,3
390258.6232,4799852.957,180,166,153,36,3
390445.5491,4799901.065,236,228,207,104,3
389751.4346,4799861.142,40,59,95,25,4
388716.3993,4799801.385,42,81,114,5,1
389463.1317,4799718.933,68,91,106,6,1
389559.7603,4799723.423,255,255,253,188,1
389671.7048,4799746.328,110,114,131,26,2
389626.4062,4799742.3,88,96,118,16,2
389669.3324,4799787.539,115,118,129,28,2
389948.9813,4799706.708,166,156,144,47,2
388510.9628,4799726.35,235,232,209,93,2
388474.5728,4799708.748,209,195,176,76,2
388611.4626,4799701.725,234,231,214,107,2
388604.6129,4799734.776,150,146,146,43,2
388473.5854,4799807.143,135,135,145,46,2
388279.7325,4799798.055,202,199,199,91,2
388250.2564,4799777.739,173,178,175,69,2
388304.362,4799709.236,255,255,241,112,2
388429.8006,4799799.045,29,60,104,5,2
388505.2433,4799758.363,223,211,188,74,2
388484.806,4799732.263,159,153,150,33,2
388572.8896,4799772.417,235,221,203,107,2
388066.9338,4799764.734,191,188,182,54,2
388063.3502,4799784.729,204,205,196,92,2
388059.0118,4799811.671,174,171,172,68,2
390138.7539,4799809.831,159,146,134,24,3
390269.7296,4799786.903,231,224,207,96,3
390130.1955,4799764.898,182,171,156,37,3
389999.6345,4799706.346,164,157,149,21,3
389999.6526,4799760.952,198,186,168,46,3
389886.0507,4799728.996,188,174,162,39,3
388327.9456,4799706.992,53,70,107,42,4
388524.2844,4799691.619,59,77,111,68,4
388162.7123,4799563.48,44,95,123,6,1
388101.0285,4799620.842,70,107,135,7,1
388775.9489,4799666.921,46,84,112,5,1
388911.9992,4799635.215,47,82,112,5,1
389189.8324,4799602.921,80,88,108,6,1
389297.2816,4799630.633,76,90,108,6,1
389345.8452,4799568.296,174,183,181,33,1
389411.2338,4799630.503,145,154,146,11,1
389654.7865,4799669.028,170,162,152,27,2
389542.0754,4799611.925,40,62,95,9,2
389557.9446,4799598.231,162,160,154,37,2
389551.0195,4799626.948,131,127,134,62,2
388628.0129,4799571,197,185,165,51,2
388531.3239,4799563.057,148,143,145,43,2
388614.6198,4799655.733,242,243,222,95,2
388308.6586,4799679.695,187,186,170,45,2
388488.2511,4799571.849,200,199,183,66,2
388469.5972,4799601.195,132,133,141,32,2
389871.2055,4799672.03,185,170,157,39,3
